month,uc,PROVINCE,DISTRICT,TEHSIL,geometry,mth_unit_recieved_dummy,mth_unit_billed_dummy,assessment_dummy,payment_dummy,td_loss_dummy,recovery_loss_dummy
24-Feb,600508,Punjab,Muzaffargarh,Kot Addu,"POLYGON ((70.96964746100008 30.453371617000073, 70.97268694500008 30.45273677700004, 70.97785983100005 30.45309372500003, 70.98308518800008 30.45176765100007, 70.98732536500006 30.45116930900008, 70.99299835200003 30.450044380000065, 70.99323645800007 30.449980366000034, 70.99911373600008 30.44858533400003, 71.00089592000006 30.44737436400004, 71.00582551500008 30.44628702600005, 71.01048682300006 30.445767929000056, 71.01279638500006 30.445229753000035, 71.01250965400004 30.444653194000068, 71.01553512500004 30.44684528600004, 71.01655682000006 30.445455914000036, 71.01840472100008 30.443188105000047, 71.02018432500006 30.441836125000066, 71.02311283400007 30.439840135000054, 71.02421650200006 30.43885902900007, 71.02820544700006 30.437976535000075, 71.03144686700006 30.43766385300006, 71.03264331200006 30.43732140000003, 71.03321826800004 30.436051250000048, 71.03395282100007 30.432978882000043, 71.03422587100005 30.430898806000073, 71.03520344500004 30.428216891000034, 71.03649388400004 30.425388618000056, 71.03896260400006 30.42191249700005, 71.04032612200007 30.41918720500007, 71.04087105900004 30.417301241000075, 71.04026100000004 30.414258722000056, 71.03921865100006 30.412786054000037, 71.03913677200006 30.412717117000057, 71.03909467500006 30.41264443700004, 71.03905373800006 30.412609967000037, 71.03867723700006 30.41203219700003, 71.03457265200007 30.40800933400004, 71.03141108200003 30.40462343200005, 71.03016292800004 30.40270467600004, 71.02978971600004 30.402163337000047, 71.02833063700007 30.40107303600007, 71.02723686500008 30.398944038000025, 71.02606217200008 30.398018120000074, 71.02500089700004 30.39561287600003, 71.02440765000006 30.393042061000074, 71.02447167500003 30.390130646000046, 71.02389817200003 30.38824880900006, 71.02129133600005 30.387891430000025, 71.01718730800008 30.385986570000057, 71.01282583400007 30.382993223000028, 71.01025165700008 30.38059096300003, 71.00617953300008 30.37738911200006, 70.99968916000006 30.377141874000074, 70.99655997000008 30.37736939100006, 70.99452697500004 30.37797311500003, 70.99198162700003 30.379693686000053, 70.99149659200003 30.380415179000067, 70.98875138700004 30.37661982800006, 70.98743114600006 30.376019017000033, 70.98553347000006 30.37522748200007, 70.98451863000008 30.37435775700004, 70.98215478600008 30.372864555000035, 70.97979277800005 30.373046954000074, 70.97743164200006 30.37304270800007, 70.97587865300005 30.373388829000078, 70.97631599100004 30.37227972200003, 70.97572176500006 30.370821784000043, 70.97475841500005 30.369885258000068, 70.97356689200006 30.368754507000062, 70.97221574400004 30.36935186100004, 70.96830928300005 30.37055252300007, 70.96365535700005 30.371243467000056, 70.95608066900007 30.37385557500005, 70.95254788900007 30.37578570900007, 70.95042710400008 30.37822033200007, 70.94994273000003 30.378763415000037, 70.94826456300007 30.380546845000026, 70.94489536700007 30.384639133000064, 70.94419309100005 30.384432876000062, 70.93837153600003 30.383881460000055, 70.93803133700004 30.384508980000078, 70.93622386700008 30.38505946500004, 70.93268700100003 30.386224033000076, 70.92948984400005 30.387213770000074, 70.92711605700003 30.387557683000068, 70.92439936300008 30.388678594000055, 70.92137363600006 30.391594542000064, 70.92928178400007 30.40032222700006, 70.93293444400007 30.40262279500007, 70.93718680300003 30.404597312000078, 70.94145140700005 30.405455215000075, 70.94393841000004 30.405368104000047, 70.94755771100006 30.401751168000033, 70.95135664700007 30.39829197100005, 70.95139446200005 30.398285757000053, 70.95548787800004 30.39557588300005, 70.95567722300007 30.39554545200008, 70.95954508500006 30.39485701900003, 70.96239803300006 30.39525426600005, 70.96762596700006 30.39527457500003, 70.96965930800008 30.395973043000026, 70.97197509400007 30.39778476300006, 70.97525567600007 30.39897515000007, 70.97932068500006 30.400228077000065, 70.98233761300008 30.403319604000046, 70.98350053900003 30.40324733700004, 70.98616350100008 30.404903103000038, 70.98836304900004 30.406354528000065, 70.99084455400003 30.408082835000073, 70.99090661400004 30.40972128100003, 70.99052755700006 30.413589752000064, 70.98980416800003 30.415241563000052, 70.99013784400006 30.416995316000055, 70.98843365600004 30.42279764600005, 70.99355842000006 30.424445612000056, 71.00106307000004 30.42558318600004, 71.00463250000007 30.42641395000004, 71.00980016800008 30.427580052000053, 71.01014786600007 30.432110157000068, 71.00604985400008 30.43143744100007, 71.00359555500006 30.43169940200005, 71.00009470800006 30.433787652000035, 70.99654794500003 30.435354032000077, 70.99351417800005 30.436754205000057, 70.99031811500004 30.43745722500006, 70.98780103400003 30.439335603000075, 70.98307097100007 30.440567779000048, 70.98074541400007 30.440163940000048, 70.97956436600003 30.44015446800006, 70.97704679300006 30.43947787700006, 70.97418001100004 30.43918910000008, 70.97123675100005 30.44008474800006, 70.96907942000007 30.440734373000055, 70.96570987100006 30.44139231400004, 70.96363687300004 30.441511511000044, 70.96106100600008 30.44128725300004, 70.95555264000006 30.442667200000074, 70.94970575300005 30.443890173000057, 70.95216598100006 30.439688168000032, 70.95552053700004 30.434002150000026, 70.95861801100006 30.42909294900005, 70.96189220600007 30.424603267000066, 70.96371957100007 30.421516783000072, 70.96596625400008 30.419429339000033, 70.96658504000004 30.417336548000037, 70.96670087500007 30.41701740800005, 70.96627554100007 30.41700003400007, 70.96422792700008 30.41690481100005, 70.95697943100004 30.418505312000036, 70.95336879400008 30.41858526200008, 70.94672571200005 30.42068722700003, 70.94423665800008 30.421264174000044, 70.94090379700003 30.422431260000053, 70.93972396200007 30.422434913000075, 70.93875392400008 30.42356355100003, 70.93849074300005 30.425547247000054, 70.93738612200008 30.427628121000055, 70.93750023100006 30.429660161000072, 70.93859231900007 30.43254394300004, 70.94123272400003 30.437134069000024, 70.94836964600006 30.44501347000005, 70.94822839300008 30.449179559000072, 70.94811024800003 30.449270763000072, 70.94926148200005 30.450342526000043, 70.95437034900004 30.453458297000054, 70.95743185200007 30.45611980800004, 70.95838089200004 30.45550997500004, 70.96274754000007 30.454873312000075, 70.96554678500007 30.454107046000047, 70.96964746100008 30.453371617000073))",97736.0,97311.0,5268675.0,5682537.0,0.0043484488827044,-0.0785514384546399
24-Feb,600525,Punjab,Muzaffargarh,Kot Addu,"POLYGON ((71.00647896200007 30.496061092000048, 71.00854673800006 30.495446411000046, 71.01122400200006 30.495930948000023, 71.01512348000006 30.496971091000034, 71.01695287100006 30.497167993000062, 71.01695279000006 30.497130652000067, 71.01763378200008 30.493403267000076, 71.01752276300004 30.485707200000036, 71.01710835600005 30.48376255200003, 71.01681793900008 30.48236716200006, 71.01663400700005 30.47837381200003, 71.01713395400003 30.474459713000044, 71.01750544100008 30.470178411000063, 71.01792184200008 30.46697888700004, 71.01712691300008 30.463707853000074, 71.01696376600006 30.459391632000063, 71.01442865100006 30.46333561800003, 71.01367930600003 30.465104091000057, 71.01308992200006 30.466930991000027, 71.01129628300004 30.46944103100003, 71.00857966800004 30.473243797000066, 71.00677769100008 30.475751385000024, 71.00283700100005 30.47757603900004, 71.00316540200004 30.48289875300003, 71.00171398500004 30.484954816000027, 70.99747283500005 30.489015919000053, 70.99180731300004 30.493487644000027, 70.99062939000004 30.49487940700004, 70.99046675900007 30.49508295000004, 70.99056512600004 30.498650961000067, 70.99513604900005 30.498139131000073, 70.99687650200008 30.497923166000078, 70.99963031400006 30.49745619400005, 71.00360102900004 30.49668334000006, 71.00647896200007 30.496061092000048))",698305.0,876579.0,42064922.0,48756344.0,-0.2552953222445779,-0.1590736813918257
24-Nov,600509,Punjab,Muzaffargarh,Kot Addu,"POLYGON ((71.01553512500004 30.44684528600004, 71.01250965400004 30.444653194000068, 71.01279638500006 30.445229753000035, 71.01048682300006 30.445767929000056, 71.00582551500008 30.44628702600005, 71.00089592000006 30.44737436400004, 70.99911373600008 30.44858533400003, 70.99323645800007 30.449980366000034, 70.99299835200003 30.450044380000065, 70.99256839400005 30.451864484000055, 70.99138709100004 30.45583812700005, 70.99063503200006 30.458029002000046, 70.98956305700005 30.462321031000045, 70.98912356700004 30.465486846000033, 70.98884221600008 30.467544455000052, 70.98987662700006 30.470919563000052, 70.98970945700006 30.474572807000072, 70.99022277400007 30.47755046700007, 70.99198427100004 30.47897126400005, 70.99419123700005 30.47978508600005, 70.99431172600003 30.479809798000076, 70.99801025300007 30.479609570000036, 71.00018228300007 30.478485679000073, 71.00283700100005 30.47757603900004, 71.00677769100008 30.475751385000024, 71.00857966800004 30.473243797000066, 71.01129628300004 30.46944103100003, 71.01308992200006 30.466930991000027, 71.01367930600003 30.465104091000057, 71.01442865100006 30.46333561800003, 71.01696376600006 30.459391632000063, 71.01592225200005 30.455836975000068, 71.01537944700004 30.45389080900003, 71.01422691400006 30.45117381400007, 71.01452698700007 30.44944288000005, 71.01553512500004 30.44684528600004))",583528.0,499066.0,14412346.0,21652603.0,0.1447436969605571,-0.5023649168567005
24-Apr,200366,Khyber Pakhtunkhwa,Kohistan,Palas,"POLYGON ((72.85137090800004 35.062894382000025, 72.85097090700003 35.05709438200006, 72.84897090800007 35.05879438100004, 72.84317090700006 35.06339438100008, 72.83967090800007 35.06619438200005, 72.83937090800003 35.07369438100005, 72.83897090800008 35.07819438200005, 72.83567090800005 35.08189438200003, 72.83027090800005 35.08589438200005, 72.82727090800006 35.08969438200006, 72.82607090800008 35.093194381000046, 72.82507090700005 35.09739438200006, 72.82747090700008 35.10319438200003, 72.83557090800008 35.107794382000066, 72.84557090700008 35.110594382000045, 72.84747090800005 35.10409438100004, 72.84897090800007 35.100594382000054, 72.85037090800006 35.09729438200003, 72.85417090700008 35.093794382000056, 72.84957090800003 35.08779438200003, 72.84667090800008 35.082594382000025, 72.85067090800004 35.074694382000075, 72.85227090800004 35.06939438200004, 72.85137090800004 35.062894382000025))",1032533.0,684319.0,27693402.0,29270054.0,0.3372424900705352,-0.0569324057766539
24-Oct,700137,Balochistan,Nasirabad,Tamboo,"POLYGON ((67.94641723800004 28.354093326000054, 67.95281315100004 28.352062885000066, 67.95457853600004 28.35263829300004, 67.93888865600007 28.23918839600003, 67.92200370000006 28.234642509000025, 67.91990642400003 28.234077865000074, 67.91767559700008 28.242503206000038, 67.92143022800008 28.26846255600003, 67.93007130300003 28.299357031000056, 67.93603705100003 28.331103125000027, 67.93621196100008 28.338128045000076, 67.93727023100007 28.350747907000027, 67.93738155300008 28.35077728600004, 67.94641723800004 28.354093326000054))",540269.0,507374.0,28372549.0,36322661.0,0.0608863362510157,-0.2802043623221868
24-May,200053,Khyber Pakhtunkhwa,Bannu,Bannu,"POLYGON ((70.60555707600008 33.007384427000034, 70.60359634800005 33.004991947000065, 70.59978839200005 33.007262052000044, 70.59445499500004 33.00941765400006, 70.59555309500007 33.01118509100007, 70.59723974500008 33.01339560900004, 70.59793791300007 33.014666824000074, 70.60062134100008 33.01595322000003, 70.60247183600006 33.01641023800005, 70.60341690700005 33.016993987000035, 70.60591727900004 33.01586587500003, 70.60552080200006 33.01427327400006, 70.60646446200008 33.00953885000007, 70.60555707600008 33.007384427000034))",73917.0,77434.0,2809845.0,2827474.0,-0.0475803942259561,-0.0062740115557975
24-Mar,600486,Punjab,Muzaffargarh,Jatoi,"POLYGON ((70.97563737100006 29.692684797000027, 70.97349564300004 29.68853435400007, 70.96966203000005 29.683716723000032, 70.96603194400006 29.67804213100004, 70.96444733700008 29.674803611000073, 70.96173660000005 29.67090950000005, 70.96172029200005 29.670873879000055, 70.95904474400004 29.666993065000042, 70.95819211300005 29.66592392900003, 70.95676317100003 29.665144121000026, 70.95909838700004 29.663658233000035, 70.96232875800007 29.660781760000077, 70.96453059300006 29.658617476000074, 70.96663470900006 29.65592304200004, 70.96926188600008 29.651964218000046, 70.97301707800005 29.647044137000023, 70.97707875100008 29.64048358100007, 70.97897314800008 29.636551716000042, 70.97976423700004 29.634169172000043, 70.98054590800007 29.630882821000057, 70.97876869200007 29.62861608000003, 70.97662457300004 29.626500864000036, 70.97447157800008 29.623073378000072, 70.96973778600005 29.618302355000026, 70.96620574300005 29.614965734000066, 70.96077992200003 29.609471452000037, 70.96057719600003 29.60806304700003, 70.95741299100007 29.60556788200006, 70.95381990000004 29.603393907000054, 70.95277781500005 29.601780973000075, 70.95011402200004 29.600337573000047, 70.94814866300004 29.599644242000068, 70.94296610100008 29.599092349000045, 70.94050906700005 29.599979489000077, 70.93852400400004 29.601302444000055, 70.93669448700007 29.60226631100005, 70.93279576000003 29.60416871500007, 70.93036494000006 29.604529134000074, 70.92664524600008 29.607798294000077, 70.92394668700007 29.610151288000054, 70.92321464800006 29.610803737000026, 70.92044494400005 29.612232764000055, 70.91925190200004 29.61372553800004, 70.91900715400004 29.61402546100004, 70.91792083900003 29.61537185800006, 70.91634042900006 29.615804384000057, 70.91473086700006 29.618250871000043, 70.91444575400004 29.619951035000042, 70.91312477100007 29.62229052500004, 70.91304612200008 29.624839849000068, 70.91491969700007 29.62845300300006, 70.91629967500006 29.631475954000052, 70.91903451300004 29.63495505000003, 70.92112202200008 29.638286813000036, 70.92177370000007 29.63931128100006, 70.91984020000007 29.639386243000047, 70.91694862500003 29.639396176000048, 70.91452857100006 29.639663804000065, 70.91031049200006 29.64082968300005, 70.90706261400004 29.642750352000064, 70.90877540400004 29.650129048000053, 70.90971813300007 29.65209208300007, 70.91008688000005 29.65748955300006, 70.91076545100003 29.66022841700004, 70.91407172600003 29.670276933000025, 70.91431693000004 29.67325178300007, 70.91591054300005 29.679796340000053, 70.91876668500004 29.68817258300004, 70.91945993000007 29.693147246000024, 70.92016446100007 29.694975331000023, 70.92159759700007 29.696215059000053, 70.92182432600003 29.696392397000068, 70.92429387600004 29.695497766000074, 70.92743415000007 29.693873379000024, 70.93036310800005 29.692863900000077, 70.93279326400005 29.691194428000074, 70.93586506600008 29.69168628700004, 70.94304235900006 29.691044684000076, 70.94837691000004 29.69198691500003, 70.95349765300006 29.69220526400005, 70.95970439900003 29.69330369100004, 70.96323778900006 29.694397956000046, 70.97030884200007 29.69695888700005, 70.97526132900003 29.69795725800003, 70.98348137000005 29.699392083000077, 70.97965051500006 29.69775831900006, 70.97783766600008 29.695882148000067, 70.97563737100006 29.692684797000027))",813299.0,929349.0,35399173.0,34271712.0,-0.142690449637833,0.0318499248555891
24-Feb,600394,Punjab,Multan,Jalalpur Pirwala,"POLYGON ((71.38163800000007 29.57244809900004, 71.38163800000007 29.569907000000057, 71.37858003500008 29.569397208000055, 71.37608411200006 29.568981113000063, 71.37571578400008 29.568919709000056, 71.37122488200004 29.568171032000066, 71.37003100000004 29.567972000000054, 71.36422700000003 29.56603800000005, 71.36229200000008 29.558299000000034, 71.36224403800003 29.55714757000004, 71.36224284900004 29.55711902200005, 71.36202088300007 29.551790221000033, 71.36187612000003 29.54831487000007, 71.36187278900007 29.548234895000064, 71.36186230700008 29.54798324400008, 71.36132500000008 29.53508400000004, 71.36154048100008 29.534150345000057, 71.36005210900004 29.532068253000034, 71.35984637400003 29.53262945800003, 71.35943702900005 29.53155223600004, 71.35726879100008 29.531845241000042, 71.35483760100004 29.531727704000048, 71.35576310300007 29.538789932000043, 71.35632022000004 29.54372141500005, 71.35585292900004 29.542341028000067, 71.35416724400005 29.545437830000026, 71.35195607700007 29.54868027200007, 71.34828943700006 29.551841026000034, 71.34827966200004 29.552704514000027, 71.35477088400006 29.555636726000046, 71.35500002500004 29.555685055000026, 71.35622458100005 29.56060339700008, 71.35717071500005 29.565363802000036, 71.35732540800007 29.568353993000073, 71.35821109300008 29.570425310000076, 71.36622521000004 29.572377715000073, 71.36808281700007 29.572362946000055, 71.37110996100006 29.572266382000066, 71.37298326400008 29.57516708600008, 71.37665986700006 29.580079545000046, 71.37830841800007 29.580950957000027, 71.37825300000003 29.580063000000052, 71.38101397900004 29.575723735000054, 71.38163800000007 29.57474300000007, 71.38163800000007 29.573467848000064, 71.38163800000007 29.57244809900004))",1034432.0,1361967.0,72371881.0,35957961.0,-0.3166327027779496,0.503150111574411
24-Apr,600219,Punjab,Jhang,Jhang,"POLYGON ((72.59139644100003 31.421027781000078, 72.59726097200007 31.413982659000055, 72.59749545800008 31.41405874800006, 72.59626983800007 31.412594913000078, 72.58278522200004 31.409634415000028, 72.58063746700003 31.40837549400004, 72.57597572800006 31.407860963000076, 72.57217757900008 31.40743833600004, 72.57100364700005 31.40453099800004, 72.56913544400004 31.40349371600007, 72.57115730400005 31.401157952000062, 72.57751818500003 31.39865108200007, 72.58229622900006 31.39444660500004, 72.58496453700008 31.388969625000072, 72.58478343600007 31.38753087300006, 72.58431882100007 31.383860716000072, 72.58407646100005 31.382637875000057, 72.58353988400006 31.379943371000024, 72.58142361400007 31.376487910000037, 72.57818227600006 31.375065472000074, 72.57547312600008 31.37341708300005, 72.57329707300005 31.373721980000028, 72.56482348500003 31.376515262000055, 72.56413500900004 31.374915075000047, 72.56330706300008 31.37539922700006, 72.55911551900004 31.376991205000024, 72.55557552900007 31.37934520600004, 72.55300355100007 31.380660973000033, 72.54977318600004 31.381015798000078, 72.54930300300003 31.38124294200003, 72.54895977900003 31.38105508900003, 72.54630730200006 31.379395231000046, 72.54174595000006 31.37762581100003, 72.53580119900005 31.37770713100008, 72.53395195500008 31.378728653000053, 72.53170359100005 31.37730266400007, 72.52666026700007 31.374550601000067, 72.52885156700006 31.370467338000026, 72.52503631300004 31.36785314800005, 72.52076420600008 31.363660280000033, 72.51886334100004 31.359158395000065, 72.51769685700003 31.352043501000026, 72.51766150300006 31.35183144000007, 72.51105351500007 31.348119159000078, 72.50325905900007 31.341247913000075, 72.50236579300008 31.339161715000046, 72.49980772200007 31.33318716200006, 72.49887826600008 31.32816318500005, 72.48662510800006 31.32738289100007, 72.48680652700006 31.327476691000072, 72.48535603700003 31.330334986000025, 72.48082469700006 31.332534962000068, 72.48043953100006 31.332721955000068, 72.47969991600007 31.33245416400007, 72.47742322900007 31.331628859000034, 72.47353104300004 31.33176898000005, 72.46981309100005 31.329980625000076, 72.46747420400004 31.331179347000045, 72.46775817700006 31.33337831800003, 72.46651127800004 31.337839736000035, 72.46719903100006 31.34122827300007, 72.46395370000005 31.34435547100003, 72.46342580100003 31.344878849000054, 72.46234975400006 31.34594544500004, 72.46504926100005 31.35082129600005, 72.46822391500007 31.356475352000075, 72.47012453200006 31.358951670000067, 72.47177634300004 31.35731061100006, 72.47985995900007 31.354990374000067, 72.48668390800003 31.359322994000024, 72.49195104300003 31.361507521000078, 72.49357478700006 31.364039113000047, 72.49360519200008 31.363848432000054, 72.49697798900007 31.36709345400004, 72.50032492100007 31.37074533200007, 72.50089682600003 31.371059174000038, 72.49408080800004 31.374844100000075, 72.48325472600004 31.380193363000046, 72.47388028900008 31.385235694000073, 72.47272675700003 31.387537959000042, 72.46828876300003 31.39253429400003, 72.46672649400006 31.397610524000072, 72.46693424500006 31.402210681000042, 72.46807580500007 31.408371441000043, 72.46857584600008 31.41615893200003, 72.46861989600006 31.41936048900004, 72.47108678500007 31.423250936000045, 72.47259019600006 31.424528559000066, 72.47398293400005 31.423316016000058, 72.47828416000004 31.421513753000056, 72.48505397600007 31.420592213000077, 72.49160030500008 31.419876241000054, 72.50583962300004 31.42395950100007, 72.50772161300006 31.42483737200007, 72.50777522400006 31.42326392600006, 72.51122233000007 31.42030227600003, 72.51483413200003 31.418925656000056, 72.51711462000003 31.41761621200004, 72.52355522900007 31.414904101000047, 72.52840069500007 31.41227265200007, 72.53342508800006 31.411223841000037, 72.53676689800005 31.412047745000052, 72.54027888700006 31.41186841900003, 72.54253012600003 31.412546802000065, 72.54590142300003 31.41098411400003, 72.54641564100007 31.40935379700005, 72.55571438100003 31.41800922500005, 72.55793167500008 31.420865579000065, 72.56890086200008 31.434916830000077, 72.56900875600007 31.435025218000078, 72.57641364800008 31.44240334400007, 72.57930839800008 31.44836152700003, 72.57850814000005 31.45093356500007, 72.58014449500007 31.450880365000046, 72.59167547700008 31.450409880000052, 72.59410992800008 31.450266296000052, 72.59417123400004 31.450263893000056, 72.59475127800005 31.44770225600007, 72.59650269900004 31.44299127100004, 72.59980596100007 31.437874953000062, 72.60430313900008 31.433167867000066, 72.60729646600004 31.42934314400003, 72.60700818200007 31.426976770000067, 72.59850122800003 31.42491386900008, 72.58703430100007 31.423805410000057, 72.59139644100003 31.421027781000078))",292607.0,244779.0,9861053.0,10106421.0,0.1634547362161534,-0.0248825353641238
24-Aug,800417,Sindh,Shaheed Benazirabad,Nawabshah,"POLYGON ((68.28462483300007 26.344436546000054, 68.28679850700007 26.340686418000075, 68.28818000000007 26.338303000000053, 68.29131100000006 26.337067000000047, 68.29204169100007 26.337187845000074, 68.29521100000005 26.337712000000067, 68.30100200000004 26.34125800000004, 68.30773100000005 26.347622000000058, 68.31516200000004 26.352739000000042, 68.31756349200003 26.354663010000024, 68.31934456400006 26.35608995800004, 68.31964438900008 26.356330170000035, 68.32164000000006 26.35792900000007, 68.32409824600006 26.358564288000025, 68.32718500000004 26.359362000000033, 68.33596300000005 26.356902000000048, 68.33814600000005 26.354411000000027, 68.33930100000003 26.34956900000003, 68.33949400000006 26.346287000000075, 68.33961900000003 26.339409000000046, 68.34310900000008 26.33598500000005, 68.34902600000004 26.33280700000006, 68.35157683600005 26.331655719000025, 68.36120100000005 26.327312000000063, 68.37668800000006 26.318781000000058, 68.37857236500008 26.31788043800003, 68.38075128200006 26.311548807000065, 68.38098092900003 26.31001025200004, 68.38069471200004 26.308861774000036, 68.38025039000007 26.30848215800006, 68.37945755900006 26.308183307000036, 68.37982773100003 26.305960208000045, 68.37991056500005 26.305062000000078, 68.37957915600003 26.303899770000044, 68.37831218700006 26.30193984500005, 68.37736515100005 26.300603934000037, 68.37376162300006 26.299205124000025, 68.37097762900004 26.297887025000023, 68.36728986700007 26.297202482000046, 68.36309886100008 26.29679070800006, 68.36105471800005 26.296627578000027, 68.35705885600004 26.29576248400008, 68.35459043600008 26.29479353000005, 68.35253469800006 26.294001862000073, 68.35195277300005 26.293448658000045, 68.35187424300005 26.293374906000054, 68.34960458800003 26.29370730900007, 68.34373674700004 26.294568668000068, 68.34028660500007 26.296690587000057, 68.33777051000004 26.298656368000024, 68.33631721500007 26.296564611000065, 68.33547981300006 26.292805215000044, 68.33543822700005 26.290960208000058, 68.33460031800007 26.287202180000065, 68.33357748400005 26.282781225000065, 68.33344459400007 26.28064396800005, 68.33255750300003 26.27850963800006, 68.33239757700005 26.275267754000026, 68.33233458800004 26.272615255000062, 68.33227992400003 26.27033093400007, 68.33174257900004 26.268859845000065, 68.32878664900005 26.267839698000046, 68.32591448300008 26.266817810000077, 68.32169350300006 26.26535640800006, 68.32001698000005 26.265286569000068, 68.31774708300003 26.26484967300007, 68.31615638700004 26.264851975000056, 68.31489087900007 26.266389192000076, 68.31453886400004 26.265835542000048, 68.31362022500008 26.265437133000034, 68.31171511500008 26.266438636000032, 68.31051472800004 26.267267236000066, 68.31078260800007 26.265332976000025, 68.31075256400004 26.264089914000067, 68.30953324700005 26.262294712000028, 68.30616662000006 26.259327289000055, 68.30303281900007 26.256220487000064, 68.29817983900006 26.253318281000077, 68.29363964100008 26.250343521000048, 68.29100940600006 26.24854461800004, 68.28939383200003 26.246539693000045, 68.28856777500005 26.24481295000004, 68.28789470500004 26.242947901000036, 68.28817048300004 26.24143159500005, 68.28844386500003 26.239846001000046, 68.28833604700003 26.238673513000037, 68.28758837000004 26.236947445000055, 68.28713209800003 26.23439508100006, 68.28685079300004 26.232602091000047, 68.28652702700003 26.232187803000045, 68.28613186300004 26.232048528000064, 68.28411592300006 26.23279989300005, 68.28038317000005 26.233751149000057, 68.27843419100003 26.234018741000057, 68.27311520500007 26.23413250300007, 68.27006322200003 26.234115789000043, 68.26576677600008 26.23436762700004, 68.26280187600008 26.23462501000006, 68.26117078000004 26.23509725300005, 68.25947910500008 26.236327259000063, 68.25665473600003 26.239275186000043, 68.25466009000007 26.244439809000028, 68.25415944100007 26.24554353700006, 68.25405027200003 26.245784470000046, 68.25331793300006 26.24739961800003, 68.25051617300005 26.25159323300005, 68.24590492000004 26.255427889000032, 68.24266152100006 26.257474079000076, 68.24213355100005 26.25836932900006, 68.24214955500008 26.259130155000037, 68.24393715900004 26.265922998000065, 68.24551140800008 26.27001752500007, 68.24587643700005 26.272510467000075, 68.24591995300005 26.274585026000068, 68.24578829500007 26.275829358000067, 68.24501593000008 26.276376047000042, 68.24290767400004 26.276770422000027, 68.23414545900005 26.277576060000058, 68.22647769300005 26.278172674000075, 68.22295182600004 26.278124294000065, 68.22145415900007 26.27761969200003, 68.21900627600007 26.276478353000073, 68.21499670600008 26.27552033300003, 68.21122879400008 26.274839529000076, 68.20730498000006 26.274152483000023, 68.20534996100008 26.274119549000034, 68.20291805200003 26.273662732000048, 68.20173466400007 26.27302009600004, 68.20062502700006 26.272442858000034, 68.20080869100008 26.270665071000053, 68.20081253200004 26.270585561000075, 68.20080200200005 26.269669785000076, 68.20078182800006 26.268430426000066, 68.20044853000007 26.267444456000078, 68.19792907900006 26.267948276000027, 68.18319392200004 26.27105845600005, 68.17706316400006 26.272372156000074, 68.17456250000004 26.27290800000003, 68.16739800000005 26.27792400000004, 68.17814500000003 26.278640000000053, 68.18589160200008 26.277571581000075, 68.19892500000003 26.27577400000007, 68.20179100000007 26.27577400000007, 68.20537300000007 26.277207000000033, 68.20537300000007 26.286522000000048, 68.20537300000007 26.29225400000007, 68.20067093200004 26.29342979000006, 68.19677500000006 26.294404000000043, 68.18961000000007 26.295837000000063, 68.18101100000007 26.295120000000054, 68.17286285300008 26.295120000000054, 68.16883100000007 26.295120000000054, 68.16238200000004 26.295120000000054, 68.16309800000005 26.300852000000077, 68.16381500000006 26.30228500000004, 68.16534613000005 26.305730311000048, 68.16668100000004 26.308734000000072, 68.17169700000005 26.309451000000024, 68.17270037400004 26.309451000000024, 68.17522251000008 26.309451000000024, 68.17742900000007 26.309451000000024, 68.17828733400006 26.31000274300004, 68.18746000000004 26.31589900000006, 68.18976500000008 26.31839400000007, 68.19491600000003 26.326162000000068, 68.19674365800006 26.327207658000077, 68.19903446800004 26.328518299000052, 68.20347000000004 26.331056000000046, 68.21022600000003 26.332579000000067, 68.21399728600005 26.33284064700007, 68.21414419100006 26.33285083900006, 68.21937556600005 26.333213787000034, 68.22123800000003 26.33334300000007, 68.22338900000005 26.33601200000004, 68.22363135700004 26.337687091000078, 68.22413600000004 26.341175000000078, 68.22923900000006 26.343548000000055, 68.23145149800007 26.343001241000024, 68.23419200000006 26.342324000000076, 68.23724053700005 26.344310422000035, 68.23841661000006 26.345075765000047, 68.24058953600007 26.34648812300003, 68.24438600000008 26.348944000000074, 68.24915000000004 26.350298000000066, 68.25007300000004 26.355071000000066, 68.25133000000005 26.36203500000005, 68.25239384400004 26.362714028000028, 68.25486501200004 26.364291320000063, 68.25498194500005 26.364365957000075, 68.25690005300004 26.365590244000032, 68.25997200000006 26.36755100000005, 68.27022100000005 26.366041000000052, 68.27405300000004 26.363871000000074, 68.27685949100004 26.359813529000064, 68.27755500000006 26.358808000000067, 68.28072600000007 26.351163000000042, 68.28462483300007 26.344436546000054))",535677.0,412660.0,23807633.0,32641577.0,0.2296477168144236,-0.3710551149709003
