feeder_id,feeder_name,uc_name,province,district,consumers,circuit_length_km,peak_load_mw,td_loss_percent,technical_loss_percent,non_technical_loss_percent,recovery_percent,line_type,maintenance_status,lat,lon
FDR_QUE_0001,Hanna (H-65) Feeder 1,Hanna (H-65),Balochistan,Quetta,4273,32.71,9.29,21.95,3.84,8.31,96.35,11kV,Good,30.20998709869981,67.06026554750443
FDR_QUE_0002,Hanna (H-65) Feeder 2,Hanna (H-65),Balochistan,Quetta,4866,5.47,13.53,34.11,6.2,7.27,79.88,33kV,Poor,30.242971378066247,67.02889573694048
FDR_QUE_0003,Hanna (H-65) Feeder 3,Hanna (H-65),Balochistan,Quetta,3774,43.18,5.34,14.23,6.43,23.71,75.63,33kV,Fair,30.217288379127467,67.04565681428929
FDR_QUE_0004,Hanna (H-65) Feeder 4,Hanna (H-65),Balochistan,Quetta,1146,33.22,1.44,31.5,2.44,5.72,86.6,33kV,Fair,30.20629859589706,67.0629449158995
FDR_QUE_0005,Nawa Killi (H-50) Feeder 1,Nawa Killi (H-50),Balochistan,Quetta,890,17.95,2.01,28.19,3.94,13.6,93.09,11kV,Poor,30.23964362505826,67.25457390959166
FDR_QUE_0006,Nawa Killi (H-50) Feeder 2,Nawa Killi (H-50),Balochistan,Quetta,4470,33.75,2.57,19.14,7.73,11.14,93.7,11kV,Fair,30.242543019709355,67.25027450995654
FDR_QUE_0007,Nawa Killi (H-50) Feeder 3,Nawa Killi (H-50),Balochistan,Quetta,2717,12.99,11.31,4.46,7.17,8.74,71.52,33kV,Good,30.24451594630676,67.25216932258938
FDR_QUE_0008,Nawa Killi (H-50) Feeder 4,Nawa Killi (H-50),Balochistan,Quetta,2335,48.32,14.93,16.7,2.16,3.89,69.64,33kV,Poor,30.209322357540007,67.26401004147132
FDR_QUE_0009,Kotwal (H-49) Feeder 1,Kotwal (H-49),Balochistan,Quetta,4631,30.21,10.05,29.47,4.68,17.48,72.19,33kV,Good,30.28489460659515,67.32373373167485
FDR_QUE_0010,Kotwal (H-49) Feeder 2,Kotwal (H-49),Balochistan,Quetta,2064,33.93,6.99,18.15,2.77,14.26,78.86,33kV,Good,30.300265792324627,67.33249473331169
FDR_QUE_0011,Kotwal (H-49) Feeder 3,Kotwal (H-49),Balochistan,Quetta,852,41.52,12.37,32.05,2.48,13.42,76.48,11kV,Fair,30.301444456337414,67.31722421450047
FDR_QUE_0012,Industrial (H-48) Feeder 1,Industrial (H-48),Balochistan,Quetta,713,16.99,12.59,20.13,3.17,10.84,72.78,11kV,Fair,30.399219383066107,67.2504724962255
FDR_QUE_0013,Industrial (H-48) Feeder 2,Industrial (H-48),Balochistan,Quetta,4778,29.3,5.67,22.06,3.95,4.33,73.9,11kV,Fair,30.379162450085136,67.23176977929057
FDR_QUE_0014,Industrial (H-48) Feeder 3,Industrial (H-48),Balochistan,Quetta,4818,17.49,10.21,6.0,6.22,4.1,83.59,33kV,Poor,30.413641706015298,67.22832044722101
FDR_QUE_0015,Labour Colony (H-41) Feeder 1,Labour Colony (H-41),Balochistan,Quetta,1897,35.39,8.34,19.23,3.36,23.0,79.48,11kV,Fair,30.317894295965996,67.18626662955968
FDR_QUE_0016,Labour Colony (H-41) Feeder 2,Labour Colony (H-41),Balochistan,Quetta,2467,12.17,11.54,10.8,4.65,23.15,80.48,11kV,Poor,30.3195487142365,67.1761607024198
FDR_QUE_0017,Labour Colony (H-41) Feeder 3,Labour Colony (H-41),Balochistan,Quetta,596,27.84,5.84,18.16,2.52,22.19,60.86,11kV,Good,30.306379187534084,67.14965014036717
FDR_QUE_0018,Labour Colony (H-41) Feeder 4,Labour Colony (H-41),Balochistan,Quetta,556,45.94,14.55,31.92,3.82,7.32,86.77,11kV,Fair,30.333257713878535,67.1711687477883
FDR_QUE_0019,Gol Masjid (H-39) Feeder 1,Gol Masjid (H-39),Balochistan,Quetta,3195,31.09,2.97,33.06,6.74,16.11,83.06,33kV,Poor,30.36251372161396,67.19522048597324
FDR_QUE_0020,Gol Masjid (H-39) Feeder 2,Gol Masjid (H-39),Balochistan,Quetta,1441,22.17,11.98,33.59,3.63,10.51,92.92,33kV,Fair,30.36183904764873,67.20944483140352
FDR_QUE_0021,Gol Masjid (H-39) Feeder 3,Gol Masjid (H-39),Balochistan,Quetta,4440,41.64,7.45,27.96,6.11,3.14,96.2,11kV,Fair,30.36522040423777,67.20705103941064
FDR_QUE_0022,Gol Masjid (H-39) Feeder 4,Gol Masjid (H-39),Balochistan,Quetta,4418,46.77,2.69,13.22,7.25,16.2,83.61,33kV,Good,30.370788168616247,67.1981324295304
FDR_QUE_0023,Chaman Phatak (H-25) Feeder 1,Chaman Phatak (H-25),Balochistan,Quetta,1544,44.28,3.23,16.74,4.83,8.46,91.34,33kV,Good,30.289143647623035,67.27348713663596
FDR_QUE_0024,Chaman Phatak (H-25) Feeder 2,Chaman Phatak (H-25),Balochistan,Quetta,687,33.14,11.31,32.93,7.57,15.63,93.21,11kV,Poor,30.28718665350649,67.29318302048404
FDR_QUE_0025,Chaman Phatak (H-25) Feeder 3,Chaman Phatak (H-25),Balochistan,Quetta,4257,9.86,14.65,30.71,3.98,24.0,81.95,33kV,Good,30.27151232620099,67.30111478132748
FDR_QUE_0026,Chaman Phatak (H-25) Feeder 4,Chaman Phatak (H-25),Balochistan,Quetta,4769,24.15,8.73,20.14,6.49,12.37,89.46,33kV,Good,30.265612244984936,67.29331217297131
FDR_QUE_0027,Sirki (H-38) Feeder 1,Sirki (H-38),Balochistan,Quetta,1602,20.82,10.26,24.62,5.58,12.83,79.26,11kV,Poor,30.103791984159017,67.09520641517292
FDR_QUE_0028,Sirki (H-38) Feeder 2,Sirki (H-38),Balochistan,Quetta,4799,5.86,3.86,32.29,2.53,14.08,65.53,11kV,Good,30.07779002686852,67.10794421249317
FDR_QUE_0029,Sirki (H-38) Feeder 3,Sirki (H-38),Balochistan,Quetta,2311,39.4,13.04,32.65,6.75,11.57,72.28,33kV,Fair,30.10245635433311,67.10109870072283
FDR_QUE_0030,Sirki (H-38) Feeder 4,Sirki (H-38),Balochistan,Quetta,4143,11.9,8.76,14.47,3.65,26.03,81.94,33kV,Good,30.093509826161874,67.09417150222852
FDR_QUE_0031,Tareen (H-36) Feeder 1,Tareen (H-36),Balochistan,Quetta,2837,28.62,14.63,17.28,4.99,19.68,61.14,33kV,Poor,30.194003381521554,67.19087673857099
